index,sample_id,image_path,question,A,B,C,D,answer,specialty,gender,country,question_type,text,prediction,hit,log,split
12,13,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/013.jpg,7-year-old boy presented with difficulty with walking. Examination showed pseudohypertrophy of the leg muscles. Which is TRUE?,Gower sign is negative, Keratin kinase is usually low,It is X linked dominant inheritance, Mortality is from respiratory failure,D,PAEDIATRICS,Male,Nigeria,MCQ,7-year-old boy presented with difficulty with walking. Examination showed pseudohypertrophy of the leg muscles. Which is TRUE?,D,1,Match Log: D. ,none
13,14,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/014.png,4-year-old girl with swelling of the left eye., Retinoblastoma is not a cause, It is a benign disease,Leukocoria is a common finding,Most presentation is bilateral,C,PAEDIATRICS,Male,Nigeria,MCQ,4-year-old girl with swelling of the left eye.,C,1,Match Log: C. ,none
14,15,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/015.jpg,"A 14-month-old toddler fever, cough and red eye of 5 days and then rash that started from the face. Which is TRUE?",History of vaccination is not essential,Measles is a likely differential diagnosis,Koplick spots are found in the eyes,Vitamin A is not important in the treatment,B,PAEDIATRICS,Male,Nigeria,MCQ,"A 14-month-old toddler fever, cough and red eye of 5 days and then rash that started from the face. Which is TRUE?",B,1,Match Log: B. ,none
20,21,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/021.jpg,30-year-old man with painful itchy vesicular rash on one side of the body without crossing midline as shown. Which is true?,Can be spread faeco-orally,It is caused by a fungus,Typically characterised by rash on a single dermatome,The diagnosis is pityriasis versicolor,C,DERMATOLOGY,Male,Nigeria,MCQ,30-year-old man with painful itchy vesicular rash on one side of the body without crossing midline as shown. Which is true?,C,1,Match Log: C. ,none
21,22,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/022.png,A 20-year-old man presented with this skin changes. Which is FALSE?,It is seen in tuberous sclerosis,It shows cafe au lait spots,Examination under wood lamp is recommended,Vitiligo is a differential diagnosis,B,DERMATOLOGY,Male,Nigeria,MCQ,A 20-year-old man presented with this skin changes. Which is FALSE?,B,1,Match Log: B. ,none
22,23,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/023.png,20-year-old man with hair loss. Which is TRUE?,Scaring alopecia,Nonscarring alopecia,Scaring alopecia is reversible,Alopecia areata is a scaring alopecia,B,DERMATOLOGY,Male,Nigeria,MCQ,20-year-old man with hair loss. Which is TRUE?,B,1,Match Log: B. ,none
23,24,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/024.png,"18-year-old male adolescent presented with recurrent pimples involving his face, neck, upper trunk. Which is FALSE about acne?",inflammatory disease of the pilosebaceous follicles,Propionibacterium acne is implicated,Reduced sebum production is an important risk factor,Blackheads comedones are shown,C,DERMATOLOGY,Male,Nigeria,MCQ,"18-year-old male adolescent presented with recurrent pimples involving his face, neck, upper trunk. Which is FALSE about acne?",C,1,Match Log: C. ,none
24,25,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/025.jpg,A 25-year-old woman presented to emergency room with this after using a certain medication. Which is FALSE?,Stevens-Johnson syndrome is a likely diagnosis if more than 30% of skin is involved,Discontinue medication,Dehydration is a complication,Barrier nursing is essential in caring for the patient,A,DERMATOLOGY,Male,Nigeria,MCQ,A 25-year-old woman presented to emergency room with this after using a certain medication. Which is FALSE?,A,1,Match Log: A. ,none
25,26,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/026.jpg,24-year-old with this skin lesion. Which is TRUE,Hypertrophic scar is the diagnosis,Result from excessive sebum deposition on the skin,Reoccurrence is not common after treatment,Body piercing can be a trigger,D,DERMATOLOGY,Male,Nigeria,MCQ,24-year-old with this skin lesion. Which is TRUE,C,0,Match Log: C. ,none
26,27,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/027.jpg,Which of these features is FALSE about melanoma?,Symmetrical shapes,Border irregularity,Colour variation,Evolving,A,DERMATOLOGY,Male,Nigeria,MCQ,Which of these features is FALSE about melanoma?,A,1,Match Log: A. ,none
27,28,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/028.jpg,This 30-year-old woman with significant alcohol history presented with persistent passage of loose stool and hyperpigmented lesion in the neck. Which is FALSE about the likely diagnosis?,Pellagra is a differential,Casal necklace is shown,Niacin deficiency is a cause,Cognitive decline is not an association,D,DERMATOLOGY,Male,Nigeria,MCQ,This 30-year-old woman with significant alcohol history presented with persistent passage of loose stool and hyperpigmented lesion in the neck. Which is FALSE about the likely diagnosis?,D,1,Match Log: D. ,none
28,29,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/029.jpg,This 20-year presented with dark changes in the armpit and groins. Which is FALSE,Neurofibromatosis is a differential,Café-au-lait spot is an important association,Blindness is a complication of the disease,Meningioma is a common finding in Neurofibromatosis type,D,DERMATOLOGY,Male,Nigeria,MCQ,This 20-year presented with dark changes in the armpit and groins. Which is FALSE,C,0,Match Log: C. ,none
29,30,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/030.png,5-year-old boy with family history of asthma presented with recurrent itchy rash as shown. Blood cell count revealed elevated eosinophil. Which is TRUE?,IgE level will be elevated,Contact dermatitis is the likely diagnosis,Incidence is low in higher socio-economic class,Avoidance of trigger is not helpful in management,C,DERMATOLOGY,Male,Nigeria,MCQ,5-year-old boy with family history of asthma presented with recurrent itchy rash as shown. Blood cell count revealed elevated eosinophil. Which is TRUE?,A,0,Match Log: A. ,none
30,31,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/031.jpg,40-year-old man presented with widespread hypopigmented rash in the trunk and limbs. Which is FALSE about Pityriasis versicolor.,Caused by overgrowth of bacteria Malassezia furfur,Common in humid and tropical conditions,It is non pruritic,Antifungal is beneficial,A,DERMATOLOGY,Male,Nigeria,MCQ,40-year-old man presented with widespread hypopigmented rash in the trunk and limbs. Which is FALSE about Pityriasis versicolor.,C,0,Match Log: C. ,none
31,32,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/032.jpg,6-year-old female with sweaty feet and itchy scaly rash on her foot and between her toes. Which is FALSE about the diagnosis,Terbinafine is an effective therapy,Wearing tight- fitting shoes is a risk factor,It is a bacterial infection,Tinea pedis is likely diagnosis,C,DERMATOLOGY,Male,Nigeria,MCQ,6-year-old female with sweaty feet and itchy scaly rash on her foot and between her toes. Which is FALSE about the diagnosis,D,0,Match Log: D. ,none
32,33,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/033.jpg,A 40-year-old woman presented with rash that spread to other parts of her body on itching. Which of the following conditions does not exhibit Koebnerâ€™s phenomenon?,Atopic dermatitis,Lichen planus,Vitiligo,Psoriasis,A,DERMATOLOGY,Male,Nigeria,MCQ,A 40-year-old woman presented with rash that spread to other parts of her body on itching. Which of the following conditions does not exhibit Koebnerâ€™s phenomenon?,A,1,Match Log: A. ,none
33,34,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/034.jpg,A 20-year-old male develop one large patch of rash on the neck and later multiple smaller crops of rash over few days. Which is the likely diagnosis?,Atopic eczema,Pityriasis rosea,Vitiligo,Lichen planus,B,DERMATOLOGY,Male,Nigeria,MCQ,A 20-year-old male develop one large patch of rash on the neck and later multiple smaller crops of rash over few days. Which is the likely diagnosis?,B,1,Match Log: B. ,none
34,35,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/035.jpg,"30-year-old man with multiple well demarcated, non-adherent silvery scaly rash on the back of 1 month. Which is FALSE about the likely diagnosis?",Auspitz sign,Exhibit isomorphic response when traumatized,Nikolsky's sign,Salicylic acid and topical steroid are used in treatment,C,DERMATOLOGY,Male,Nigeria,MCQ,"30-year-old man with multiple well demarcated, non-adherent silvery scaly rash on the back of 1 month. Which is FALSE about the likely diagnosis?",C,1,Match Log: C. ,none
40,41,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/041.jpg,This 3 hour of life old baby was delivered via emergency CS. Which of this is TRUE?,This shows fetal microsomia,The Baby's mother is most likely hypertensive,The most feared complication of this baby is hyperglycemia,The Baby's mother is most likely diabetic.,D,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,This 3 hour of life old baby was delivered via emergency CS. Which of this is TRUE?,B,0,Match Log: B. ,none
41,42,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/042.jpg,Concerning this patient who presented with vaginal protrusion which is TRUE?,It is commonest among primipara,Chronic pulmonary disease is a risk factor,This is stage 2 of uterovaginal prolapse,Previous caesarean section is a risk factor,B,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Concerning this patient who presented with vaginal protrusion which is TRUE?,C,0,Match Log: C. ,none
42,43,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/043.jpg,Concerning this graph which is true,It is a cardiotocograph,It is used for monitoring progress of labour,The alert line and action line are 2 hours apart,It shows only maternal information,B,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Concerning this graph which is true,A,0,Match Log: A. ,none
43,44,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/044.jpg,The following are indication for forceps delivery EXCEPT,Fully dilated cervix,Intact membranes,Empty bladder,Engaged faetal head,B,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,The following are indication for forceps delivery EXCEPT,B,1,Match Log: B. ,none
44,45,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/045.png,Which is correct about the use of this device?,It increases blood flow to the uterus,The 5th part is applied first,It is used in postpartum haemorrhage,It is a pneumatic antishock garment,C,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Which is correct about the use of this device?,D,0,Match Log: D. ,none
45,46,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/046.jpg,Concerning the use of this device which is FALSE,It cannot be used to estimate fetal weight,It can be used to estimate gestational age,Reduce symphysio-fundal height is seeing in intrauterine growth restriction,Higher symphysio-fundal height may suggest multiple gestation,A,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Concerning the use of this device which is FALSE,A,1,Match Log: A. ,none
46,47,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/047.jpg,Which is not a component of CTG tracing to access fetal wellbeing?,Baseline fetal heart rate,Variability,Decelerations,Speed,D,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Which is not a component of CTG tracing to access fetal wellbeing?,D,1,Match Log: D. ,none
47,48,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/048.jpg,Which is FALSE concerning the use of this medication in obstetrics practices,Augmentation of labour is an indication,Uterine hypostimulation is the most important complication,It is required in active management of 3rd stage of labour,Continuous fetal heart rate monitoring is often necessary,B,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Which is FALSE concerning the use of this medication in obstetrics practices,A,0,Match Log: A. ,none
48,49,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/049.jpg,A 28-year-old lady presented with itchy vulva swelling as shown. Which of the following is FALSE?,Condyloma acuminatum is a likely diagnosis,High risk human papilloma virus strains are the major causes,It is sexually transmitted,It is vaccine preventable,B,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,A 28-year-old lady presented with itchy vulva swelling as shown. Which of the following is FALSE?,D,0,Match Log: D. ,none
49,50,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/050.png,This primigravida whose height is 135cm is at risk of the following EXCEPT,Multiple gestations,Cephalopelvic disproportion,Hyperemesis gravidarum,Preeclampsia,A,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,This primigravida whose height is 135cm is at risk of the following EXCEPT,A,1,Match Log: A. ,none
50,51,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/051.jpg,A 32-year-old woman presented with infertility and ultrasound scan revealed right ovary as shown. Which is FALSE about the likely diagnosis,History of hirsutism,Recurrent acne,Obesity is not a risk factor,Use of Metformin is beneficial,C,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,A 32-year-old woman presented with infertility and ultrasound scan revealed right ovary as shown. Which is FALSE about the likely diagnosis,C,1,Match Log: C. ,none
51,52,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/052.png,30-year-old woman presented with pelvic pain and progressive vaginal swelling of 1 week. Which is FALSE about Bartholins cyst?,Recurrent is common,Marsupialization is the treatment of choice,She will benefit from NSAIDS and Sitz bath,Multiple sexual partners is not a risk factor,D,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,30-year-old woman presented with pelvic pain and progressive vaginal swelling of 1 week. Which is FALSE about Bartholins cyst?,B,0,Match Log: B. ,none
52,53,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/053.jpg,Which is FALSE concerning the use of this device?,This is a Karman syringe,It is used for abortion after 12 weeks,Endometrial biopsy is an indication,It is economical as it can be reused,B,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Which is FALSE concerning the use of this device?,B,1,Match Log: B. ,none
53,54,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/054.png,Which is FALSE concerning the use of this device?,It allows for biopsy to be taken for histology,Abnormal Pap smear test is an indication,It is a primary level of prevention of cervical cancer,Genital warts is an indication,C,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Which is FALSE concerning the use of this device?,C,1,Match Log: C. ,none
54,55,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/055.jpg,A 29-year-old primigravida at 13 weeks gestation has booking parameter that revealed proteinuria of 4+. Which is FALSE concerning her diagnosis?,History of hypertension should be obtained,She is at risk of low-birth-weight baby,It is a cause of intrauterine growth restriction,She should be managed in a primary health care center,D,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,A 29-year-old primigravida at 13 weeks gestation has booking parameter that revealed proteinuria of 4+. Which is FALSE concerning her diagnosis?,D,1,Match Log: D. ,none
61,62,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/062.jpg,A 20-year-old man being evaluated for anaemia. His peripheral blood film showed hyper segmented neutrophils. Which is FALSE about the likely diagnosis?,Vitamin B12 deficiency,Vitamin C deficiency,Folate deficiency,Iron deficiency,B,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,A 20-year-old man being evaluated for anaemia. His peripheral blood film showed hyper segmented neutrophils. Which is FALSE about the likely diagnosis?,B,1,Match Log: B. ,none
62,63,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/063.jpg,Concerning the blood group shown which is FALSE?,It contains antigen A,It contains Rh D+,It contains antibody B,It is a universal donor,D,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Concerning the blood group shown which is FALSE?,D,1,Match Log: D. ,none
63,64,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/064.jpg,What feature is expected in the CSF microscopy of a patient with pyogenic meningitis?,Increased number of lymphocytes,Normal protein concentrations,Polymorphonuclear cells,No microorganism in direct gram stain,C,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,What feature is expected in the CSF microscopy of a patient with pyogenic meningitis?,C,1,Match Log: C. ,none
64,65,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/065.png,Which is TRUE about this Peripheral blood film?,The mode of inheritance is autosomal recessive,Bone pain crisis is not a common complication of the condition,The condition is least common in Africa,The patient requires folic acid and ferrous sulphate supplement for life.,A,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Which is TRUE about this Peripheral blood film?,D,0,Match Log: D. ,none
65,66,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/066.jpg,Which is TRUE about liver carcinoma?,Cholangiocarcinoma is the commonest type,Hepatocellular carcinoma is the commonest type,Metastatic is not a type,HBV is not implicated,B,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Which is TRUE about liver carcinoma?,B,1,Match Log: B. ,none
66,67,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/067.jpg,Schistosomiasis is best managed with,Albendazole,Mebendazole,Praziquantel,Diethylcarbamazine,C,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Schistosomiasis is best managed with,C,1,Match Log: C. ,none
67,68,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/068.jpg,Which is FALSE about the diagnosis?,Wuchereria bancrofti is a likely cause,Diethylcarbamazine is the drug of choice,The diagnosis is made by finding microfilaria in the peripheral blood during the day,Aedes spp is indicated in the transmission,C,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Which is FALSE about the diagnosis?,D,0,Match Log: D. ,none
68,69,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/069.jpg,Which is FALSE about the diagnosis,Pel-Epstein fever is a common finding,Generalized pruritus may occur,Prednisolone is the treatment of choice,Malaria is implicated in the etiology,C,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Which is FALSE about the diagnosis,D,0,Match Log: D. ,none
69,70,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/070.jpg,A 38-year-old man with recurrent epigastric pain of 1 year. Upper GI endoscopy is as shown. Which is TRUE about the likely diagnosis?,NSAID is not a cause,H. pylori is not implicated,Upper GI bleeding is not a complication,Anaemia is an alarm symptom,D,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,A 38-year-old man with recurrent epigastric pain of 1 year. Upper GI endoscopy is as shown. Which is TRUE about the likely diagnosis?,D,1,Match Log: D. ,none
70,71,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/071.jpg,A 20-year-old woman with multiple ecchymotic patches and bleeding from venepuncture. Which of these is not a cause of disseminated coagulopathy?,Snake bite,ABO incompatible transfusion reactions,Sepsis,Diabetes mellitus,D,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,A 20-year-old woman with multiple ecchymotic patches and bleeding from venepuncture. Which of these is not a cause of disseminated coagulopathy?,D,1,Match Log: D. ,none
71,72,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/072.jpg,This 30-year-old woman presented with neck swelling. Which is FALSE about the condition?,Goitre is a differential,Iodine deficiency is a cause,Elevated TSH indicates secondary hypothyroidism,Menstrual irregularity is an association,C,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,This 30-year-old woman presented with neck swelling. Which is FALSE about the condition?,C,1,Match Log: C. ,none
72,73,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/073.png,"A 25-year-old man presented with recurrent fatigue, craving for salt and darkening of lips and hands. Which is INCORRECT about the likely diagnosis?",Hypoglycemia,Hypokalemia,Hyponatremia,Orthostatic Hypotension,B,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,"A 25-year-old man presented with recurrent fatigue, craving for salt and darkening of lips and hands. Which is INCORRECT about the likely diagnosis?",C,0,Match Log: C. ,none
73,74,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/074.jpg,10-year-old boy with recurrent abdominal discomfort and failure to gain weight with endoscopy as shown. Which of this is not a nematode?,Ascaris lumbricoides,Necator americanus,Schistosoma japonicum,Ancylostoma duodenale,C,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,10-year-old boy with recurrent abdominal discomfort and failure to gain weight with endoscopy as shown. Which of this is not a nematode?,C,1,Match Log: C. ,none
74,75,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/075.jpg,Which is true about H. pylori,Commonest causes of peptic ulcer in developed countries,Positive urease breath test,Gram negative,Monotherapy is used in eradication,A,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Which is true about H. pylori,B,0,Match Log: B. ,none
75,76,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/076.jpg,Concerning the micrograph which of this is correct?,Trisomy 18,Trisomy 13,Dysmorphic features,Tuner syndrome,C,OBSTETRICS AND GYNAECOLOGY,Male,Nigeria,MCQ,Concerning the micrograph which of this is correct?,B,0,Match Log: B. ,none
81,82,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/082.png,"This 18-year-old female presented with paroxysmal cough, fever and red eye of 3 weeks",The most likely diagnosis is measles,Bartonella henselae is not a causative organism,A previous infection confers lifelong immunity,it is a vaccine preventable disease,D,INFECTIOUS DISEASE,Male,Nigeria,MCQ,"This 18-year-old female presented with paroxysmal cough, fever and red eye of 3 weeks",B,0,Match Log: B. ,none
82,83,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/083.png,This patient presented with fever and rash. Which is FALSE?,Incubation period is 10 days,It has lifelong immunity,It has dermatomal distribution,Reactivation of active infection causes Shingles,A,INFECTIOUS DISEASE,Male,Nigeria,MCQ,This patient presented with fever and rash. Which is FALSE?,A,1,Match Log: A. ,none
