sample_id	image_path	question	A	B	C	D	answer	specialty	gender	country	question_type
11	images/011.jpg	About Kangaroo mother care which is TRUE?	Makes breastfeeding difficult	 The process reduces apnoea in preterms and low birth weight neonates	 Increase nosocomial infection	 It cannot be done by the father	B	PAEDIATRICS	Male	Nigeria	MCQ
12	images/012.jpg	This term neonate has umbilical hernia, macroglossia, with difficulty in sucking. Which is FALSE?	Growth failure is not a complication	 Intellectual disability is common if untreated	 Infant of mother with thyroid disease	Child will require treatment with levothyroxine	A	PAEDIATRICS	Male	Nigeria	MCQ
13	images/013.jpg	7-year-old boy presented with difficulty with walking. Examination showed pseudohypertrophy of the leg muscles. Which is TRUE?	Gower sign is negative	 Keratin kinase is usually low	It is X linked dominant inheritance	 Mortality is from respiratory failure	D	PAEDIATRICS	Male	Nigeria	MCQ
14	images/014.png	4-year-old girl with swelling of the left eye.	 Retinoblastoma is not a cause	 It is a benign disease	Leukocoria is a common finding	Most presentation is bilateral	C	PAEDIATRICS	Male	Nigeria	MCQ
15	images/015.jpg	A 14-month-old toddler fever, cough and red eye of 5 days and then rash that started from the face. Which is TRUE?	History of vaccination is not essential	Measles is a likely differential diagnosis	Koplick spots are found in the eyes	Vitamin A is not important in the treatment	B	PAEDIATRICS	Male	Nigeria	MCQ
16	images/016.png	A 4-year-old child with 1 week history of fever, left ear discharge and inability to open the mouth and this posture. What is the likely diagnosis?					Tetanus	PAEDIATRICS	Male	Nigeria	SAQ
17	images/017.png	An 18-month-old male toddler presented with fever and vomiting. Physical examination showed him to have edema of the legs, hyper and hypo-pigmented skin and friable reddish hair and weight of 7kg. What is the diagnosis?					Kwashiorkor	PAEDIATRICS	Male	Nigeria	SAQ
18	images/018.jpg	6-year-old boy with body swelling of 2 months and massive proteinuria.What is the diagnosis?  Answer: Nephrotic syndrome					Nephrotic syndrome	PAEDIATRICS	Male	Nigeria	SAQ
19	images/019.jpg	This infant was born with a lower back swelling. What preconception/antenatal care could have prevented this condition?            Answer: Folic acids					Folic acids	PAEDIATRICS	Male	Nigeria	SAQ
20	images/020.jpg	This baby was born with this. What is the spot diagnosis?					Mongolian spot	PAEDIATRICS	Male	Nigeria	SAQ
21	images/021.jpg	30-year-old man with painful itchy vesicular rash on one side of the body without crossing midline as shown. Which is true?	Can be spread faeco-orally	It is caused by a fungus	Typically characterised by rash on a single dermatome	The diagnosis is pityriasis versicolor	C	DERMATOLOGY	Male	Nigeria	MCQ
22	images/022.png	A 20-year-old man presented with this skin changes. Which is FALSE?	It is seen in tuberous sclerosis	It shows cafe au lait spots	Examination under wood lamp is recommended	Vitiligo is a differential diagnosis	B	DERMATOLOGY	Male	Nigeria	MCQ
23	images/023.png	20-year-old man with hair loss. Which is TRUE?	Scaring alopecia	Nonscarring alopecia	Scaring alopecia is reversible	Alopecia areata is a scaring alopecia	B	DERMATOLOGY	Male	Nigeria	MCQ
24	images/024.png	18-year-old male adolescent presented with recurrent pimples involving his face, neck, upper trunk. Which is FALSE about acne?	inflammatory disease of the pilosebaceous follicles	Propionibacterium acne is implicated	Reduced sebum production is an important risk factor	Blackheads comedones are shown	C	DERMATOLOGY	Male	Nigeria	MCQ
25	images/025.jpg	A 25-year-old woman presented to emergency room with this after using a certain medication. Which is FALSE?	Stevens-Johnson syndrome is a likely diagnosis if more than 30% of skin is involved	Discontinue medication	Dehydration is a complication	Barrier nursing is essential in caring for the patient	A	DERMATOLOGY	Male	Nigeria	MCQ
26	images/026.jpg	24-year-old with this skin lesion. Which is TRUE	Hypertrophic scar is the diagnosis	Result from excessive sebum deposition on the skin	Reoccurrence is not common after treatment	Body piercing can be a trigger	D	DERMATOLOGY	Male	Nigeria	MCQ
27	images/027.jpg	Which of these features is FALSE about melanoma?	Symmetrical shapes	Border irregularity	Colour variation	Evolving	A	DERMATOLOGY	Male	Nigeria	MCQ
28	images/028.jpg	This 30-year-old woman with significant alcohol history presented with persistent passage of loose stool and hyperpigmented lesion in the neck. Which is FALSE about the likely diagnosis?	Pellagra is a differential	Casal necklace is shown	Niacin deficiency is a cause	Cognitive decline is not an association	D	DERMATOLOGY	Male	Nigeria	MCQ
29	images/029.jpg	This 20-year presented with dark changes in the armpit and groins. Which is FALSE	Neurofibromatosis is a differential	Café-au-lait spot is an important association	Blindness is a complication of the disease	Meningioma is a common finding in Neurofibromatosis type	D	DERMATOLOGY	Male	Nigeria	MCQ
30	images/030.png	5-year-old boy with family history of asthma presented with recurrent itchy rash as shown. Blood cell count revealed elevated eosinophil. Which is TRUE?	IgE level will be elevated	Contact dermatitis is the likely diagnosis	Incidence is low in higher socio-economic class	Avoidance of trigger is not helpful in management	C	DERMATOLOGY	Male	Nigeria	MCQ
31	images/031.jpg	40-year-old man presented with widespread hypopigmented rash in the trunk and limbs. Which is FALSE about Pityriasis versicolor.	Caused by overgrowth of bacteria Malassezia furfur	Common in humid and tropical conditions	It is non pruritic	Antifungal is beneficial	A	DERMATOLOGY	Male	Nigeria	MCQ
32	images/032.jpg	6-year-old female with sweaty feet and itchy scaly rash on her foot and between her toes. Which is FALSE about the diagnosis	Terbinafine is an effective therapy	Wearing tight- fitting shoes is a risk factor	It is a bacterial infection	Tinea pedis is likely diagnosis	C	DERMATOLOGY	Male	Nigeria	MCQ
33	images/033.jpg	A 40-year-old woman presented with rash that spread to other parts of her body on itching. Which of the following conditions does not exhibit Koebnerâ€™s phenomenon?	Atopic dermatitis	Lichen planus	Vitiligo	Psoriasis	A	DERMATOLOGY	Male	Nigeria	MCQ
34	images/034.jpg	A 20-year-old male develop one large patch of rash on the neck and later multiple smaller crops of rash over few days. Which is the likely diagnosis?	Atopic eczema	Pityriasis rosea	Vitiligo	Lichen planus	B	DERMATOLOGY	Male	Nigeria	MCQ
35	images/035.jpg	30-year-old man with multiple well demarcated, non-adherent silvery scaly rash on the back of 1 month. Which is FALSE about the likely diagnosis?	Auspitz sign	Exhibit isomorphic response when traumatized	Nikolsky's sign	Salicylic acid and topical steroid are used in treatment	C	DERMATOLOGY	Male	Nigeria	MCQ
36	images/036.jpg	A 25-year-old lady with hyperpigmented rash around the bridge of her nose. What is the diagnosis?      Answer: Systemic Iupus erythromatosis					Systemic lupus erythromatosis	DERMATOLOGY	Male	Nigeria	SAQ
37	images/037.jpg	A 60-year-old woman presented with joint pain and a scaly, itchy rash on the back and elbow of 3 months. What is the likely diagnosis?					Psoriasis	DERMATOLOGY	Male	Nigeria	SAQ
38	images/038.png	This 20-year-old boy presented with recurrent raised rash that usually appear in the limbs after bathing. What is the likely diagnosis?					Aquagenic urticaria	DERMATOLOGY	Male	Nigeria	SAQ
39	images/039.jpg	A 6-year-old boarding house pupil with rash in the legs and hands with intense itching at night. He has no history of atopy. History of similar rash in room mates   What is the likely Spot diagnosis?					Scabies	DERMATOLOGY	Male	Nigeria	SAQ
40	images/040.jpg	A 20-year-old boy presented with peeling and itchy scalp of 2 months.  What is the diagnosis?					Ringworm/ Tinea capitis	DERMATOLOGY	Male	Nigeria	SAQ
41	images/041.jpg	This 3 hour of life old baby was delivered via emergency CS. Which of this is TRUE?	This shows fetal microsomia	The Baby's mother is most likely hypertensive	The most feared complication of this baby is hyperglycemia	The Baby's mother is most likely diabetic.	D	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
42	images/042.jpg	Concerning this patient who presented with vaginal protrusion which is TRUE?	It is commonest among primipara	Chronic pulmonary disease is a risk factor	This is stage 2 of uterovaginal prolapse	Previous caesarean section is a risk factor	B	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
43	images/043.jpg	Concerning this graph which is true	It is a cardiotocograph	It is used for monitoring progress of labour	The alert line and action line are 2 hours apart	It shows only maternal information	B	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
44	images/044.jpg	The following are indication for forceps delivery EXCEPT	Fully dilated cervix	Intact membranes	Empty bladder	Engaged faetal head	B	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
45	images/045.png	Which is correct about the use of this device?	It increases blood flow to the uterus	The 5th part is applied first	It is used in postpartum haemorrhage	It is a pneumatic antishock garment	C	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
46	images/046.jpg	Concerning the use of this device which is FALSE	It cannot be used to estimate fetal weight	It can be used to estimate gestational age	Reduce symphysio-fundal height is seeing in intrauterine growth restriction	Higher symphysio-fundal height may suggest multiple gestation	A	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
47	images/047.jpg	Which is not a component of CTG tracing to access fetal wellbeing?	Baseline fetal heart rate	Variability	Decelerations	Speed	D	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
48	images/048.jpg	Which is FALSE concerning the use of this medication in obstetrics practices	Augmentation of labour is an indication	Uterine hypostimulation is the most important complication	It is required in active management of 3rd stage of labour	Continuous fetal heart rate monitoring is often necessary	B	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
49	images/049.jpg	A 28-year-old lady presented with itchy vulva swelling as shown. Which of the following is FALSE?	Condyloma acuminatum is a likely diagnosis	High risk human papilloma virus strains are the major causes	It is sexually transmitted	It is vaccine preventable	B	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
50	images/050.png	This primigravida whose height is 135cm is at risk of the following EXCEPT	Multiple gestations	Cephalopelvic disproportion	Hyperemesis gravidarum	Preeclampsia	A	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
51	images/051.jpg	A 32-year-old woman presented with infertility and ultrasound scan revealed right ovary as shown. Which is FALSE about the likely diagnosis	History of hirsutism	Recurrent acne	Obesity is not a risk factor	Use of Metformin is beneficial	C	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
52	images/052.png	30-year-old woman presented with pelvic pain and progressive vaginal swelling of 1 week. Which is FALSE about Bartholins cyst?	Recurrent is common	Marsupialization is the treatment of choice	She will benefit from NSAIDS and Sitz bath	Multiple sexual partners is not a risk factor	D	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
53	images/053.jpg	Which is FALSE concerning the use of this device?	This is a Karman syringe	It is used for abortion after 12 weeks	Endometrial biopsy is an indication	It is economical as it can be reused	B	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
54	images/054.png	Which is FALSE concerning the use of this device?	It allows for biopsy to be taken for histology	Abnormal Pap smear test is an indication	It is a primary level of prevention of cervical cancer	Genital warts is an indication	C	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
55	images/055.jpg	A 29-year-old primigravida at 13 weeks gestation has booking parameter that revealed proteinuria of 4+. Which is FALSE concerning her diagnosis?	History of hypertension should be obtained	She is at risk of low-birth-weight baby	It is a cause of intrauterine growth restriction	She should be managed in a primary health care center	D	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
56	images/056.jpg	This 30-year-old woman with heavy menstrual bleeding had surgery done.     What is the diagnosis?    Answer:  Uterine fibroid / leiomyoma					Uterine fibroid / leiomyoma	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	SAQ
57	images/057.jpg	Identify the instrument         Answer:  Cusco Speculum					Cusco Speculum	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	SAQ
58	images/058.jpg	35-year-old woman desired a long-term contraception. What procedure is being prepared for?   Answer:     Intrauterine contraceptive device insertion					Intrauterine contraceptive device insertion	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	SAQ
59	images/059.jpg	60-year-old woman with bleeding per vaginum, abdominal swelling and weight loss of 2 months.   What is the likely diagnosis?   Answer:  Endometrial/ Uterine Cancer					Endometrial/ Uterine Cancer	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	SAQ
60	images/060.png	A 30-year-old P0+1 being investigated for secondary infertility.     What investigation is shown?    Answer:   Hysterosalpingography					Hysterosalpingography,	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	SAQ
61	images/061.png	A 30-year-old P0+1 being investigated for secondary infertility.     What is the likely diagnosis?   Answer:   Tubal blockage					Tubal blockage	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	SAQ
62	images/062.jpg	A 20-year-old man being evaluated for anaemia. His peripheral blood film showed hyper segmented neutrophils. Which is FALSE about the likely diagnosis?	Vitamin B12 deficiency	Vitamin C deficiency	Folate deficiency	Iron deficiency	B	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
63	images/063.jpg	Concerning the blood group shown which is FALSE?	It contains antigen A	It contains Rh D+	It contains antibody B	It is a universal donor	D	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
64	images/064.jpg	What feature is expected in the CSF microscopy of a patient with pyogenic meningitis?	Increased number of lymphocytes	Normal protein concentrations	Polymorphonuclear cells	No microorganism in direct gram stain	C	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
65	images/065.png	Which is TRUE about this Peripheral blood film?	The mode of inheritance is autosomal recessive	Bone pain crisis is not a common complication of the condition	The condition is least common in Africa	The patient requires folic acid and ferrous sulphate supplement for life.	A	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
66	images/066.jpg	Which is TRUE about liver carcinoma?	Cholangiocarcinoma is the commonest type	Hepatocellular carcinoma is the commonest type	Metastatic is not a type	HBV is not implicated	B	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
67	images/067.jpg	Schistosomiasis is best managed with	Albendazole	Mebendazole	Praziquantel	Diethylcarbamazine	C	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
68	images/068.jpg	Which is FALSE about the diagnosis?	Wuchereria bancrofti is a likely cause	Diethylcarbamazine is the drug of choice	The diagnosis is made by finding microfilaria in the peripheral blood during the day	Aedes spp is indicated in the transmission	C	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
69	images/069.jpg	Which is FALSE about the diagnosis	Pel-Epstein fever is a common finding	Generalized pruritus may occur	Prednisolone is the treatment of choice	Malaria is implicated in the etiology	C	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
70	images/070.jpg	A 38-year-old man with recurrent epigastric pain of 1 year. Upper GI endoscopy is as shown. Which is TRUE about the likely diagnosis?	NSAID is not a cause	H. pylori is not implicated	Upper GI bleeding is not a complication	Anaemia is an alarm symptom	D	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
71	images/071.jpg	A 20-year-old woman with multiple ecchymotic patches and bleeding from venepuncture. Which of these is not a cause of disseminated coagulopathy?	Snake bite	ABO incompatible transfusion reactions	Sepsis	Diabetes mellitus	D	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
72	images/072.jpg	This 30-year-old woman presented with neck swelling. Which is FALSE about the condition?	Goitre is a differential	Iodine deficiency is a cause	Elevated TSH indicates secondary hypothyroidism	Menstrual irregularity is an association	C	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
73	images/073.png	A 25-year-old man presented with recurrent fatigue, craving for salt and darkening of lips and hands. Which is INCORRECT about the likely diagnosis?	Hypoglycemia	Hypokalemia	Hyponatremia	Orthostatic Hypotension	B	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
74	images/074.jpg	10-year-old boy with recurrent abdominal discomfort and failure to gain weight with endoscopy as shown. Which of this is not a nematode?	Ascaris lumbricoides	Necator americanus	Schistosoma japonicum	Ancylostoma duodenale	C	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
75	images/075.jpg	Which is true about H. pylori	Commonest causes of peptic ulcer in developed countries	Positive urease breath test	Gram negative	Monotherapy is used in eradication	A	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
76	images/076.jpg	Concerning the micrograph which of this is correct?	Trisomy 18	Trisomy 13	Dysmorphic features	Tuner syndrome	C	OBSTETRICS AND GYNAECOLOGY	Male	Nigeria	MCQ
77	images/077.jpg	What is the likely diagnosis?   Answer:  Bifid ureters					Bifid ureters	PATHOLOGY	Male	Nigeria	SAQ
78	images/078.jpg	List abnormalities in this peripheral blood film.					schistocytes, polychromasia	PATHOLOGY	Male	Nigeria	SAQ
79	images/079.jpg	This patient died of hypertension and renal failure?     What is the likely diagnosis?					glomerulosclerosis	PATHOLOGY	Male	Nigeria	SAQ
80	images/080.jpg	A 50-year-old man who presented with enlargement of hands, feet, coarse face and prognathism. What is the likely diagnosis?					acromegaly	PATHOLOGY	Male	Nigeria	SAQ
81	images/081.jpg	Cut section of the left lung showing caseating necrosis. What is the most likely diagnosis?					Pulmonary tuberculosis	PATHOLOGY	Male	Nigeria	SAQ
82	images/082.png	This 18-year-old female presented with paroxysmal cough, fever and red eye of 3 weeks	The most likely diagnosis is measles	Bartonella henselae is not a causative organism	A previous infection confers lifelong immunity	it is a vaccine preventable disease	D	INFECTIOUS DISEASE	Male	Nigeria	MCQ
83	images/083.png	This patient presented with fever and rash. Which is FALSE?	Incubation period is 10 days	It has lifelong immunity	It has dermatomal distribution	Reactivation of active infection causes Shingles	A	INFECTIOUS DISEASE	Male	Nigeria	MCQ
84	images/084.png	A newly diagnosed HIV patient presented with this rash and cough. Which is FALSE?	Patient likely has stage 3 HIV infection	Patient is qualified to start receiving ART	The most objective means of determining the severity of the disease is to measure the viral load	It is not necessary to screen for tuberculosis and treat before commencing ART	D	INFECTIOUS DISEASE	Male	Nigeria	MCQ
85	images/085.jpg	Which of the following is not a part of a standard precaution practices?	Hand hygiene	Proper disposal of sharps	Biosafety cabinets	Use of personal protectives	C	INFECTIOUS DISEASE	Male	Nigeria	MCQ
86	images/086.jpg	A 23-year-old sexually active male presented with penile growth with no ulcer. Which of the following is FALSE?	Use of condom is 100% protective	Genital warts is a likely diagnosis	Cryotherapy can be used for treatment	History of multiple sexual partners is important	A	INFECTIOUS DISEASE	Male	Nigeria	MCQ
87	images/087.jpg	30-year-old woman complained of dry skin with loss of sensation and 4 skin lesions as shown. Which is TRUE about her diagnosis?	Lepromatous leprosy	Tuberculoid leprosy	Mycobacterium tuberculosis is the likely organism	This is classified as multibacillary according to WHO	B	INFECTIOUS DISEASE	Male	Nigeria	MCQ
88	images/088.jpg	What is the duration of hand washing for infection control as recommended by WHO?	1-5 minutes	5 seconds	20-40 seconds	60 seconds	C	INFECTIOUS DISEASE	Male	Nigeria	MCQ
89	images/089.jpg	When is the diagnosis of healthcare associated infection made?	3 days after discharge	14 days after surgery	48 hours after immunization	48 hours after admission into the hospital	D	INFECTIOUS DISEASE	Male	Nigeria	MCQ
90	images/090.jpg	Which is FALSE concerning pyrexia of unknown origin?	Unexplained fever persistent for 1 week of hospital evaluation	Unexplained fever persistent for 3 outpatient visits	Majority are due to malignancy	Begin with least invasive evaluation to avoid unnecessary harm and cost to the patient	C	INFECTIOUS DISEASE	Male	Nigeria	MCQ
91	images/091.jpg	25-year-old man with history of IV drug injection who presented with new murmur on examination. Which is FALSE about the diagnosis?	Osler's nodes may be associated	Finger clubbing	Terry's nails	Treatment of the underlying condition may require 4-6 weeks of antibiotic therapy	C	INFECTIOUS DISEASE	Male	Nigeria	MCQ
92	images/092.png	Which is INCORRECT about rational use of antibiotics in treatment of infectious disease?	Right medication	Right dosage	Least cost to patients	None of the above	D	INFECTIOUS DISEASE	Male	Nigeria	MCQ
93	images/093.jpg	28-year-old woman presented with fever and pain with urination of 3 days. Which is TRUE about her diagnosis?	Urinalysis	Urine microscopy and culture	Commonest cause of urinary tract infection is E. coli	All of the above	D	INFECTIOUS DISEASE	Male	Nigeria	MCQ
94	images/094.jpg	A 45-year-old presented with cough, fever of 5 days. He was confused and has hypotension on examination. Which is TRUE about his chest ray and management.	CURB 65 score of 1 require admission	CURB 65 score of 4 is managed on outpatient basis	Likely diagnosis is community acquired pneumonia	This patient can be treated on outpatient basis	C	INFECTIOUS DISEASE	Male	Nigeria	MCQ
95	images/095.png	A neonate presented with fever and bilateral eye discharge. Which is TRUE concerning her diagnosis?	It is common with newborns delivered via caesarian section	History of vaginal discharge in the mother	Newborns should receive erythromycin ointment in both eyes after delivery	Chlamydia is not a cause	C	INFECTIOUS DISEASE	Male	Nigeria	MCQ
96	images/096.jpg	Which is FALSE concerning the disease transmitted by this vector?	Ebola virus	Fever is a common finding	It is primarily by contact with food and household items	Incubation period is from 2-21 days	A	INFECTIOUS DISEASE	Male	Nigeria	MCQ
97	images/097.jpg	This 5-year-old girl presented with fever and eye swelling of 4 days.  What is the likely diagnosis?   Answer:  Orbital cellulitis/ Orbital abscess					Orbital cellulitis/ Orbital abscess	INFECTIOUS DISEASE	Male	Nigeria	SAQ
98	images/098.jpg	5-month-old infant presented with fever and peeling of the skin of 1 week. No history of atopy or use of any medication.  What is the diagnosis?					Staphylococcal scalded skin syndrome	INFECTIOUS DISEASE	Male	Nigeria	SAQ
99	images/099.jpg	35-year-old with skin patches, plagues and numbness of the face and leonine facie.  What is the likely diagnosis?					Leprosy/ Hansen’s disease	INFECTIOUS DISEASE	Male	Nigeria	SAQ
100	images/100.png	20-year-old presented with thickened and loss of nails. What is the likely diagnosis?					Tinea unguium	INFECTIOUS DISEASE	Male	Nigeria	SAQ
101	images/101.jpg	A 40-year-old man presented with cough, hemoptysis and weight loss of 3 months. Chest ray was as shown. What is the likely diagnosis?					Pulmonary tuberculosis,	INFECTIOUS DISEASE	Male	Nigeria	SAQ
102	images/102.jpg	Name one investigation to help confirm the diagnosis.					Sputum GeneXpert MTB/RIF OR Sputum for Acid fast bacilli	INFECTIOUS DISEASE	Male	Nigeria	SAQ
103	images/103.jpg	A pregnant lady with PIH was being monitored with bed rest in supine position. Which of the following is a complication of the below representation?	Ascending Aorta syndrome	Superior vena caval syndromes	Supine vena cava syndrome	Descending aorta syndrome	C	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
104	images/104.jpg	Identify the following instrument commonly used in obstetrics	Curved scissors	Mayo Scissors	Episiotomy scissors	Artery forceps	C	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
105	images/105.png	Identify the grip in the image below.	Second pelvic grip	Fundal grip	Station grip	Pawlik grip	D	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
106	images/106.png	Identify this condition shown in the image below.	Dichorionic diamniotic pregnancy	Monochorionic diamniotic pregnancy	Monochorionic monoamniotic pregnancy	Placenta villamentosa	C	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
107	images/107.jpg	A 40- year old female patient presented with a history of profuse vaginal discharge. The discharge has a fishy odor. Which of the following best describes the microscopic findings given below.	Epithelial cells with bacteria attatched on cell surface	Neutrophil engulfed bacteria	Bacteria engulfed by macrophages	Long curved beaded bacilli	A	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
108	images/108.jpg	Your patient is admitted in the labor ward in preparation for an emergency cesarean section. Identify the procedure being done below.	Amniocentesis	Cardiotocography	Amniotic Fluid index determination	MCA Doppler	B	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
109	images/109.png	You are presented the image below after your patient above is assessed in the labor ward. What does it show?	Normal	Deceleration followed by acceleration	Deceleration	Acceleration	C	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
110	images/110.png	The instrument below is used in.	Vaginal hysterectomy	Fothergill's surgery	Cesarean section	Mac stitch insertion	C	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
111	images/111.jpg	The following instrument is used for	VIA	VILLI	PAP Smear	High vaginal Swab	C	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
112	images/112.jpg	A primigravida in her 10th week of gestation presents with spotting. On examination, the uterus corresponds to 12 weeks. TVS was done and it Is given by this     What is the diagnosis?	Missed abortion	Blighted ovum	Hydatidiform mole	Ectopic pregnancy	C	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
113	images/113.jpg	What is the probable diagnosis given in the clinical image below?	Cervical carcinoma	Uterocervical prolapse	Uterine Inversion	Fibroid Polyp	B	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
114	images/114.jpg	Which statement is false regarding late decelerations	Starts after peach of uterine contractions and ends after uterine contraction	At least 10 beats, 2 tines in a 20 min period above baseline	They are smooth and gradual	Occur due to uteroplacental insufficiency	B	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
115	images/115.jpg	A woman comes with complaints of pain and swelling in the perineal area. She also has complaints of difficulty in walking and sitting. She gives a history of multiple sexual partners. On examination, a tender swelling is seen with redness on the labia, as shown in the image given below. What is the most likely diagnosis?	Bartholin abscess	Chlamydial infection	Herpes infection	Genital TB	A	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
116	images/116.png	A 55- year old lady comes with AUB. A hysterectomy was performed and the following specimen retrieved.Histology revealed intercalating bundles of smooth muscle cells arranged in a characteristicwholed pattern. What is the diagnosis?	Endometrial Carcinoma	Leiomyoma	Endometrial polyp	Adenomyosis	B	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
